Year,Florida,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,MiamiDade,DeSoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,St. Johns,St. Lucie,Santa Rosa,Sarasota,Seminole,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington
2017,975.4,"1,118.3",491,990.4,698.9,791.5,"1,150.80","1,076.30",978.5,"1,179.70",973.7,590.8,791.2,"1,133.30",448.2,844.6,"1,060.60","1,488.20",695.9,553.2,851.9,667.7,119.6,613.6,480.8,355.7,449.1,"1,446.90",755.8,667.8,982.8,"1,282.00",585.4,779.2,853.6,625.1,844.1,832.1,384.1,665.8,"1,007.50","1,018.40",694.3,679.8,655.9,"1,110.40",535.2,955.4,781.7,"1,040.20","1,288.90","1,279.30",989,951.6,798.6,978,"1,040.30",763,946.3,748.5,530.9,554.3,656.9,939.4,812.9,799.3,606
2016,976.8,"1,093.1",460.2,958.4,618.7,754.5,"1,219.60",730.5,941.8,"1,182.60",959.4,508,848.9,"1,185.50",317.1,764.3,960.8,"1,604.70",682.1,447.6,707.1,943.3,263.8,576.6,478.8,352.6,515,"1,482.90",694.7,697.2,858.9,"1,299.60",616.1,877.5,818.7,602.4,761.8,775.9,745.6,674.3,961.5,855.6,648.9,888.3,579.9,"1,084.40",523.8,931.8,776.6,"1,027.90","1,333.30","1,354.40",965,783.8,758.3,905.8,"1,079.80",801.3,950.9,696.4,596.6,639,631.4,932.2,790.8,626.7,564.2
2015,1012.5,"1,061.7",629.9,999.6,572.3,798.8,"1,292.40",784.5,858.6,"1,088.00",866.8,633.2,780.6,"1,287.90",357.2,704.5,"1,000.40","1,583.00",683.7,540.5,833.3,641.9,175.2,614.5,472.2,327.3,479.4,"1,429.50",743.7,742.5,922.1,"1,424.50",669.5,824.5,899.4,612.1,840.1,723,573.4,717.1,"1,008.20",833.4,603.3,905.2,656.3,"1,107.10",601.7,964.2,816.3,"1,065.70","1,465.60","1,193.30",945.6,840.2,769.7,980.9,"1,062.90",924.9,974,742.1,683.3,641.3,469.9,940.8,810.7,736.2,669.9
2014,977.4,934.7,676,"1,114.30",689.4,736.3,"1,174.40",783.7,741.5,"1,052.10",878,562.9,746.2,"1,279.90",334.6,635.3,"1,035.40","1,550.00",685.1,520.7,779.5,681,182,596.8,562,327.6,390.5,"1,365.10",740.7,735.4,"1,019.50","1,549.60",595.4,838.7,978,525.5,733.5,631.8,619.3,705,859.5,774.2,658.2,860.1,723.3,"1,157.00",465.4,895.8,635.5,"1,061.70","1,453.70","1,166.20",940.6,685.9,761.3,916.4,976.3,909.6,931.4,907.3,557.6,557.5,483.7,960,785.3,693.9,543.3
2013,943.7,801.3,605,"1,032.50",612.9,727,"1,112.80",786.6,655.4,898.1,789.3,597.4,675.5,"1,206.70",241.3,715.5,981.6,"1,520.40",794.6,399.4,763.6,519.1,154.1,568.1,348.9,385.1,338.9,"1,503.60",672.6,732,887.9,"1,555.20",627.5,838.8,997.1,491.4,743.5,601.4,529.5,665.8,855.6,715.8,698.4,902.1,868.1,"1,071.90",566.7,849,546.4,"1,072.60","1,480.00","1,066.90",957,631,743.5,936.7,"1,017.10",824.9,901.2,770.4,480.9,483.2,458,989.1,726.3,757.3,519.3
2012,912.6,816.9,592.3,995.5,556,688.8,"1,058.20",566.6,643.9,913,849,662.8,704,"1,144.50",287,450.7,942,"1,445.60",733.4,429.8,762,506.7,162.3,611.3,339.8,417.9,247.8,"1,357.20",634.6,755.1,892.9,"1,599.30",636.6,981.7,982.8,450.9,773.9,635.8,574.6,654.5,887.3,792,703.4,839.7,787.7,881.8,563,773.7,549.9,"1,071.20","1,442.10","1,060.00",912.5,667.3,829.3,929.1,975.6,769.9,874.3,732.7,507.5,575.5,572.6,863.6,696,565,505.3
2011,873.4,752.2,641.5,"1,006.70",602.9,981,"1,101.00",677,532.3,697.1,861.9,592.9,674.6,"1,073.00",313.1,583.8,877.6,"1,276.00",626.2,427.7,750.1,591.6,114.2,768.8,501.7,370.4,304,758.9,733.3,672.2,714.6,"1,424.40",598.1,966.1,950,403.7,710.7,611.4,582.5,832.2,865.1,737.4,633.4,961.8,697.6,786.1,513.1,693.5,563.2,"1,009.50","1,416.50",997.5,922.7,658,837.8,808.3,864.4,768.2,900.2,745.6,448,633.8,466.6,884.5,703.9,521.2,629
2010,838.3,638.4,574.4,998.1,549.6,"1,270.40","1,097.00",489.3,597.6,689.1,789.8,525.9,689,"1,029.60",321.1,461.3,856.8,"1,156.40",607.2,299.8,691.8,571.1,161.5,757.6,353.4,412.1,274.8,701.1,593.6,574.3,594.3,"1,362.50",653.8,712.6,928,349.7,701,570.4,466.6,806.1,769.3,728,674.4,"1,188.50",675,751.1,614.1,719.8,493,927,"1,109.50",971.9,829.3,633.9,764,820.2,817.9,699.6,858.5,780.2,412,581,461.6,855.1,747.4,571.5,578.7
2009,786.8,572.1,647.2,865.4,484.1,"1,280.60","1,051.60",480.4,524.7,420.7,774.6,464.6,626.4,"1,019.90",285.9,487.9,828.6,"1,057.90",611,336.9,673.4,360.8,107.6,553.2,375.3,389.9,233.6,743,493.7,521.4,584.4,"1,330.70",551.1,726.4,901.5,357,567.2,476.7,420.1,702.7,686.4,670.4,664.2,"1,187.60",749.1,735.2,576,683.9,420.1,903,757.6,877.5,736.7,592.2,734,793.5,731.5,569.1,809.8,534.3,452.2,502.7,463.2,758.8,740.2,558,741.6
2008,740.1,566.8,490,907.3,422.6,"1,136.40","1,014.10",528.6,506.3,390.1,728.4,400.6,579.7,953.3,266.8,412.5,780.5,"1,010.60",573.2,471.7,693.7,383.4,107.6,491.7,371.7,378.9,296.7,728.3,454,511.6,450.8,"1,222.20",492,685.4,799.1,342.8,583.8,490.5,448.7,537.3,577.9,554.9,513.2,"1,246.90",724.3,715.5,491,605.8,332,897.6,687.4,868.5,658.7,606.2,778.8,787.4,702.8,569,651.4,461.3,400.4,490,265.1,701,577.8,523.7,625.4
2007,717.9,521.7,528.6,914.4,414.4,"1,153.50","1,013.40",482.5,502.3,353.1,592.7,374.4,520.6,904.2,353.6,581.3,772.1,998.9,576.7,446,805.1,283.2,76.5,463.1,284.9,332.7,251.1,694.4,520.7,498,517.1,"1,083.60",517,648.2,767.2,301.8,574.3,534.6,557.6,601.3,577.7,474.2,582.9,"1,288.10",634.8,677.8,558.1,582.7,315.8,868.5,643.9,804.5,619,575.7,741.3,796.4,626.5,540.6,649.6,473.5,391.5,636.7,236.5,706.3,545.6,515.2,595.5
2006,717.8,601.6,590.9,976.8,338.8,"1,239.70","1,012.40",596.5,499.9,461.5,576,293,553.3,914.1,390.1,602.1,711.8,"1,007.10",518.8,719.4,779.8,436.3,92.8,485.5,454,364.6,216.8,677.8,510.6,505.9,516,"1,068.70",480.5,621.2,742,211.7,585.6,626.8,489.6,537,571.1,469.1,488.5,"1,338.90",617.6,603.2,498.1,574.6,294.7,871.4,654.9,883.7,600.8,617.6,655.6,757.3,667.8,556.1,610.1,527.5,490.3,574,438.2,721.5,545.1,548.8,676.9
2005,738.5,572.3,501.9,987.6,562.8,"1,200.10",996,447.6,496.4,558.7,535.9,294.6,683.1,949.9,417.8,342.7,701.1,"1,008.90",563,957.9,754,511,84.1,518.1,611.5,327.1,228.6,728.1,564.4,533,579.1,"1,038.90",539.6,977.6,677.8,228.2,529.7,530.7,696.8,603.1,543.5,510,532.8,"1,281.60",728,677.9,579.6,594.7,396.6,921,701.4,971.6,627.7,645.3,538.5,765.5,636.7,584.2,634.4,441.6,636.3,550.8,422.6,726.7,"1,224.20",405.8,659.8
2004,756.5,563.9,596.9,"1,119.10",444,"1,310.20","1,030.10",598.4,499,584,752.7,360.3,528.8,895.5,383.8,281.8,709.5,"1,014.30",674.3,554.7,744.3,458.6,122.1,762.6,562.7,187.3,217.2,822.6,477.7,541.4,592,"1,074.70",655.6,709.6,664.9,232.9,606.8,563.1,487.7,525.8,561.4,402.4,929.6,"1,196.70",833.9,677.4,762.9,573.1,400.6,965.3,845.4,976.7,585.5,615.8,671.7,"1,035.50",588.6,553.7,628.9,527.4,501.3,662.6,452.8,759.5,"1,267.70",441.4,619.7
2003,756.2,504.2,613.1,"1,013.40",407.6,"1,296.50","1,028.30",512.4,515.3,516.1,767.5,276.7,554.6,907.6,355.6,223.3,749,906.9,629.8,813.8,688.5,511.4,,674.6,601.1,347.6,176.4,"1,003.80",423.6,528.7,555.7,"1,058.10",537.3,680.3,662.6,248.8,581.6,460.9,634.1,464.4,611.1,417.5,"1,038.10","1,194.80",754.4,668.2,712.2,571.9,419.6,996.1,842.1,944.4,596.3,643.5,763,"1,151.60",565.9,573.8,547.6,470.1,432.4,707.1,439.3,745.4,751.8,370.1,637.9
2002,771.6,490.0,577,997.3,412.2,"1,296.10","1,089.20",533.7,555.3,557.5,841.7,293.7,546.7,905.3,392.1,229.4,746.8,804.7,838.3,725.8,650.3,305.5,67.4,688.5,382.5,272.6,157.4,"1,107.50",548.3,545.8,492.4,992.6,631.3,802.2,635.8,223.5,667,442.2,393.6,460.9,673.2,386.7,"1,202.80","1,060.40",769.8,652.3,716.1,550,399.8,963.6,899.1,949.8,581.3,632.7,858.1,"1,201.70",595.7,811.7,547.8,469.4,629.5,589.2,363.4,901.8,750.6,417.2,642.5
2001,766.1,533.3,750.6,"1,084.30",476.1,"1,251.00","1,098.10",682.5,387.8,544.6,869.5,310.5,783.7,885.5,271,286.5,777.9,802,766.3,700.3,692,512.1,74.5,578.6,639.7,433.9,210.6,"1,329.00",522.7,561.7,523.6,980.3,548.5,869.8,872.5,203.7,621.9,529.7,982.4,399.3,651.1,402.9,"1,070.00",989.3,850.5,708.3,621.2,570.5,380.6,817.9,808.2,930.3,586.1,788.3,845,"1,001.70",611.6,748.5,538.9,751.5,657.5,699.3,391,980.8,750.1,446.5,739.3
2000,737.1,522.9,622.8,923.7,377.4,"1,176.10","1,037.40",595.1,557,705.1,813.2,417.8,759.7,916.3,344.3,423.5,724.7,847.6,843.3,644.6,638.1,597.1,82.6,642.9,747,335,250,"1,128.10",447.5,539.7,576,890.8,462.3,567.2,745.5,451.1,612.7,610.7,841.1,435.8,775.5,424.5,856,"1,037.50",741.2,716,477.7,485.4,299.7,738.6,620.1,876.5,562.8,898.2,823.3,939.1,580.9,651.7,458.2,588.4,678.7,610.6,441.4,857.6,845.4,569.1,691
1999,744.8,537.8,636.8,772.8,418.6,"1,086.40",979.9,516.8,659.2,488.6,733.2,415.2,760.5,926.5,370.5,442.8,690,787.5,417.2,752.5,576.2,394.5,172.4,652,620.7,269.2,355.5,"1,069.20",451.9,685,372.3,786,547,771.3,670.3,790.6,630.1,442.8,712.7,425.8,749.4,475.1,828.4,"1,049.60",633.5,706.9,498.2,517,525.4,815.2,666.9,881.2,639.8,669.3,856.9,846.6,503.1,600.9,420.2,518.1,651.8,443.7,422,747.2,702.7,530.6,518.1
1998,764.5,445.9,495.7,834,344.3,"1,050.80",966.8,617.7,611.2,443.3,695.3,456,703.2,950.4,441.1,359.4,700.7,777.1,543.3,660.3,674.4,376.2,104.1,606.1,441.1,291.1,461.2,"1,021.90",518.3,704.9,336.3,815.7,596.5,681.1,832.7,696.3,622.8,311,"1,090.90",414.8,773.1,462.7,846.5,941.5,728.4,718,540.1,675.4,656,841.6,735.2,891.7,689.6,778.7,842.7,892.6,513.4,608.6,504.8,666.6,557.8,449.3,604.4,678.6,870.5,538.1,545
